date,location,new_cases,new_deaths,total_cases,total_deaths
2019/12/31,United States,0,0,0,0
2020/1/1,United States,0,0,0,0
2020/1/2,United States,0,0,0,0
2020/1/3,United States,0,0,0,0
2020/1/4,United States,0,0,0,0
2020/1/5,United States,0,0,0,0
2020/1/6,United States,0,0,0,0
2020/1/7,United States,0,0,0,0
2020/1/8,United States,0,0,0,0
2020/1/9,United States,0,0,0,0
2020/1/10,United States,0,0,0,0
2020/1/11,United States,0,0,0,0
2020/1/12,United States,0,0,0,0
2020/1/13,United States,0,0,0,0
2020/1/14,United States,0,0,0,0
2020/1/15,United States,0,0,0,0
2020/1/16,United States,0,0,0,0
2020/1/17,United States,0,0,0,0
2020/1/18,United States,0,0,0,0
2020/1/19,United States,0,0,0,0
2020/1/20,United States,0,0,0,0
2020/1/21,United States,1,0,1,0
2020/1/22,United States,0,0,1,0
2020/1/23,United States,0,0,1,0
2020/1/24,United States,0,0,1,0
2020/1/25,United States,1,0,2,0
2020/1/26,United States,0,0,2,0
2020/1/27,United States,3,0,5,0
2020/1/28,United States,0,0,5,0
2020/1/29,United States,0,0,5,0
2020/1/30,United States,0,0,5,0
2020/1/31,United States,1,0,6,0
2020/2/1,United States,1,0,7,0
2020/2/2,United States,1,0,8,0
2020/2/3,United States,3,0,11,0
2020/2/4,United States,0,0,11,0
2020/2/5,United States,0,0,11,0
2020/2/6,United States,1,0,12,0
2020/2/7,United States,0,0,12,0
2020/2/8,United States,0,0,12,0
2020/2/9,United States,0,0,12,0
2020/2/10,United States,0,0,12,0
2020/2/11,United States,1,0,13,0
2020/2/12,United States,0,0,13,0
2020/2/13,United States,1,0,14,0
2020/2/14,United States,1,0,15,0
2020/2/15,United States,0,0,15,0
2020/2/16,United States,0,0,15,0
2020/2/17,United States,0,0,15,0
2020/2/18,United States,0,0,15,0
2020/2/19,United States,0,0,15,0
2020/2/20,United States,0,0,15,0
2020/2/21,United States,1,0,16,0
2020/2/22,United States,19,0,35,0
2020/2/23,United States,0,0,35,0
2020/2/24,United States,0,0,35,0
2020/2/25,United States,18,0,53,0
2020/2/26,United States,0,0,53,0
2020/2/27,United States,6,0,59,0
2020/2/28,United States,1,0,60,0
2020/2/29,United States,6,0,66,0
2020/3/1,United States,3,1,69,1
2020/3/2,United States,20,1,89,2
2020/3/3,United States,14,4,103,6
2020/3/4,United States,22,3,125,9
2020/3/5,United States,34,2,159,11
2020/3/6,United States,74,1,233,12
2020/3/7,United States,105,2,338,14
2020/3/8,United States,95,3,433,17
2020/3/9,United States,121,4,554,21
2020/3/10,United States,200,5,754,26
2020/3/11,United States,271,2,1025,28
2020/3/12,United States,287,2,1312,30
2020/3/13,United States,351,10,1663,40
2020/3/14,United States,511,7,2174,47
2020/3/15,United States,777,10,2951,57
2020/3/16,United States,823,12,3774,69
2020/3/17,United States,887,16,4661,85
2020/3/18,United States,1766,23,6427,108
2020/3/19,United States,2988,42,9415,150
2020/3/20,United States,4835,0,14250,150
2020/3/21,United States,5374,110,19624,260
2020/3/22,United States,7123,80,26747,340
2020/3/23,United States,8459,131,35206,471
2020/3/24,United States,11236,119,46442,590
2020/3/25,United States,8789,211,55231,801
2020/3/26,United States,13963,249,69194,1050
2020/3/27,United States,16797,246,85991,1296
2020/3/28,United States,18695,411,104686,1707
2020/3/29,United States,19979,484,124665,2191
2020/3/30,United States,18360,318,143025,2509
2020/3/31,United States,21595,661,164620,3170
